Nombre técnico,Ticket asociado
check_website_responsiveness,
show_currency_rate,1604
repair_rose,
discount_limit,
pos_credit_limit,
premigration_FE,
purchase_order_products_xls,284
deltatech_pricelist,-
product_drive_images,
pos_multi_session_odp,-
cost_USD,
sales_credit_limit,
hr_employee_automatic_vacations,-
compute_number_days_in_leaves,-
hr_employee_automatic_holiday,-
purchase_discount,7836
ob_pos_payment_ref,7272
hr_payroll_information_and_last_salaries,-
hr_payroll_report,-
purchase_discount,2895
res_partner_routes,3816
limit_credit_partner,2894
followup_report_mod_minimal,2872
account_pay_date,
,
pos_remove_button,
website_sale_product_description,9386
ssq_pos_global_discount_limit,8629
multi_branch_base,8216
payment_greenpay_ola,
discounts_and_promotions_website,9339
pos_discount_limitation,8538
discounts_and_promotions_pos,8311
discounts_and_promotions,8132
,
ks_pos_low_stock_alert,9138
last_salaries,5368
compute_number_days_in_leaves,
hr_employee_automatic_holiday,
time_sheet_attendace,5368
product_animal_control,3800
machote_planillas,5368
automatic_vacations_by_employee_first_day,5368
deltatech_pricelist,
invoice_report_information,
hr_payroll_information_and_last_salaries,5368
stock_analytic_account_inherit,
website_booking_system,1671
iatl_hr_deduction,8837
bi_so_version_update,9990
maintenance_start_stop_models,9103
maintenance_start_stop,9103
ks_dashboard_ninja,9261
maintenance_automatic,9103
auto_invoice_workflow_ept,
code_britt,6452
common_connector_library,
shopify_ept,
